ID,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
300000,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,0,Yes,None,Historical,Yes,2.6,Evening
300001,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,30,Yes,None,Historical,Yes,0.4,Afternoon
300002,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,60,Yes,None,Religious,No,0.4,Afternoon
300003,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,50,Yes,Monday,Environmental,Yes,0.27,Evening
300004,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,15,Yes,None,Scientific,Yes,0.31,Morning
300005,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,0,Yes,Sunday,Market,Yes,0.25,Afternoon
300006,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,0,Yes,Monday,Religious,Yes,0.59,Evening
300007,Northern,Delhi,Delhi,Red Fort,Fort,1648,2,35,Yes,None,Historical,Yes,1.5,Afternoon
300008,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,0,Yes,None,Historical,Yes,0.41,Afternoon
300009,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,0,Yes,None,Botanical,Yes,0.16,Afternoon
300010,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,35,Yes,None,Botanical,Yes,0.23,Morning
300011,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1,0,Yes,None,Botanical,Yes,0.48,All
300012,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3,20,Yes,Monday,Artistic,Yes,0.08,All
300013,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3,80,Yes,Friday,Environmental,Yes,0.41,All
300014,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1,35,Yes,None,Historical,Yes,1.37,Afternoon
300015,Northern,Delhi,Delhi,National Science Centre,Science,1992,5,70,Yes,None,Scientific,Yes,0.23,All
300016,Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2,0,Yes,None,Scenic,Yes,1.5,Evening
300017,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1,0,Yes,None,Historical,Yes,3.6,All
300018,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1,500,Yes,None,Historical,Yes,0.34,All
300019,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,50,Yes,Monday,Wildlife,Yes,0.6,All
300020,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2,0,Yes,None,Religious,No,1.05,All
300021,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1,0,Yes,None,Religious,No,0.33,All
300022,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2,0,Yes,None,Religious,No,0.16,All
300023,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2,0,Yes,None,Recreational,Yes,0.05,Evening
300024,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5,1149,Yes,None,Recreational,Yes,0.27,All
300025,Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4,550,Yes,None,Historical,Yes,0.35,All 
300026,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5,1149,No,Monday,Recreational,Yes,0.95,All
300027,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2,500,Yes,Monday,Historical,Yes,0.9,Morning
300028,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,20,Yes,None,Nature,Yes,1.5,Evening
300029,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1,0,Yes,None,Nature,Yes,1.32,Morning
300030,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,0,Yes,None,Architectural,No,0.8,Morning
300031,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1,0,Yes,None,Religious,Yes,1.14,Evening
300032,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1,25,Yes,Friday,Historical,Yes,2.1,Morning
300033,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2,30,Yes,None,Historical,Yes,1.2,Morning
300034,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1,0,Yes,None,Scenic,Yes,0.5,Evening
300035,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4,1150,Yes,None,Entertainment,Yes,0.45,All
300036,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2,20,Yes,None,Historical,Yes,0.67,All
300037,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1,25,Yes,None,Historical,Yes,0.2,Morning
300038,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1,0,Yes,None,Religious,No,0.41,All
300039,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,80,Yes,None,Historical,Yes,0.45,Morning
300040,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3,50,Yes,None,Wildlife,Yes,0.86,Morning
300041,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1,20,Yes,None,Recreational,Yes,0.73,Evening
300042,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,30,Yes,Monday,Historical,Yes,0.73,Morning
300043,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,0,Yes,None,Architectural,No,1.2,Anytime
300044,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2,50,Yes,Monday,Historical,Yes,0.18,Morning
300045,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1,0,Yes,None,Religious,Yes,0.82,Morning
300046,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1,0,Yes,None,Religious,Yes,0.5,Morning
300047,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3,2500,Yes,None,Sports,Yes,0.1,All
300048,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2,25,Yes,None,Wildlife,Yes,0.66,Afternoon
300049,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3,60,Yes,None,Educational,Yes,0.88,All
300050,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,0,Yes,None,Religious,Yes,0.47,Morning
300051,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1,0,Yes,None,Historical,Yes,0.1,Afternoon
300052,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2,0,Yes,None,Scenic,Yes,0.26,Evening
300053,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1,0,Yes,None,Historical,Yes,0.59,Afternoon
300054,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,0,Yes,None,Historical,Yes,0.95,Morning
300055,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3,500,Yes,None,Nature,Yes,0.3,Afternoon
300056,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2,0,Yes,None,Scenic,Yes,0.18,Evening
300057,Southern,Goa,Goa,Chapora Fort,Fort,1617,1,0,Yes,None,Historical,Yes,0.19,Evening
300058,Southern,Goa,Goa,Se Cathedral,Church,1640,1,0,Yes,None,Historical,Yes,0.05,Afternoon
300059,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2,0,Yes,None,Scenic,Yes,0.35,Evening
300060,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2,0,Yes,None,Scenic,Yes,0.1,Evening
300061,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2,0,Yes,None,Scenic,Yes,0.27,Evening
300062,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2,0,Yes,None,Scenic,Yes,0.1,Evening
300063,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,0,Yes,None,Scenic,Yes,0.3,Evening
300064,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2,0,Yes,None,Scenic,Yes,0.01,Evening
300065,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2,10,Yes,None,Wildlife,Yes,0.03,Afternoon
300066,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,0,Yes,None,Historical,Yes,0.35,Morning
300067,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2,0,No,None,Religious,No,0.59,Evening
300068,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3,3500,No,None,Wildlife,Yes,0.08,Morning
300069,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,0,Yes,None,Nature,Yes,0.12,Evening
300070,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2,200,Yes,Monday,Historical,Yes,0.17,Afternoon
300071,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2,0,No,None,Religious,No,0.39,Morning
300072,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3,7500,Yes,None,Cultural,Yes,0.1,Evening
300073,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3,350,No,Monday,Historical,Yes,0.67,All
300074,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,0,No,None,Historical,Yes,0.05,All
300075,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1,0,Yes,None,Recreational,Yes,0.1,Evening
300076,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2,0,Yes,None,Food,Yes,0.49,Night
300077,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3,10,Yes,None,Recreational,Yes,0.3,Afternoon
300078,Western,Gujarat,Ahmedabad,Science City,Science,2002,7,500,Yes,Monday,Educational,Yes,0.11,All
300079,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1,50,Yes,None,Architectural,Yes,1.3,Morning
300080,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2,300,Yes,None,Historical,Yes,0.51,All
300081,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,50,No,None,Historical,Yes,0.56,All
300082,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3,500,No,None,Wildlife,Yes,0.09,All
300083,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,0,No,None,Religious,Yes,1.6,All
300084,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1,0,Yes,None,Religious,No,0.35,All
300085,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2,100,Yes,None,Historical,Yes,0.64,All
300086,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2,40,No,None,Historical,Yes,1.9,All
300087,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1,0,No,None,Religious,No,0.05,All
300088,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2,50,Yes,None,Historical,Yes,0.32,All
300089,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2,100,Yes,None,Historical,Yes,1.5,All
300090,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,35,Yes,None,Historical,Yes,0.3,All
300091,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1,0,Yes,None,Nature,Yes,0.5,All
300092,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,0,Yes,None,Spiritual,Yes,1.9,All
300093,Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1,0,Yes,None,Historical,Yes,0.3,Afternoon
300094,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2,0,Yes,None,Cultural,Yes,0.17,Evening
300095,Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2,30,Yes,None,Artistic,Yes,0.5,All
300096,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,0,Yes,None,Recreational,Yes,0.11,All
300097,Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2,0,No,None,Nature,Yes,0.3,All
300098,Southern,Kerala,Kochi,Fort Kochi,Site,1503,1,0,Yes,None,Historical,Yes,0.1,All
300099,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1,0,Yes,None,Religious,No,0.46,All
300100,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,0,Yes,None,Recreational,Yes,0.059,All
300101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3,300,No,None,Wildlife,Yes,2.2,All
300102,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3,50,No,None,Wildlife,Yes,0.14,All
300103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2,50,Yes,None,Wildlife,Yes,0.1,All
300104,Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2,0,Yes,None,Recreational,Yes,0.1,All
300105,Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,20,No,None,Historical,Yes,0.22,All
300106,Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2,0,Yes,None,Recreational,Yes,0.68,All
300107,Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1,20,Yes,None,Historical,Yes,0.11,All
300108,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1,0,No,None,Nature,Yes,0.03,Morning
300109,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,100,Yes,Monday,Cultural,Yes,0.1,All
300110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,750,Yes,None,Entertainment,Yes,0.41,All
300111,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2,50,Yes,None,Historical,Yes,2.5,All
300112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3,0,No,None,Historical,Yes,0.05,All
300113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1,0,No,None,Nature,Yes,0.03,Morning
300114,Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2,0,No,None,Nature,Yes,0.09,All
300115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3,0,No,None,Nature,Yes,0.05,All
300116,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,30,No,None,Religious,No,0.2,All
300117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,30,No,None,Nature,Yes,0.23,Morning
300118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,0,Yes,None,Recreational,Yes,0.1,All
300119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1,0,Yes,None,Religious,No,0.49,All
300120,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,20,No,None,Historical,Yes,0.25,All
300121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3,300,No,None,Wildlife,Yes,0.15,Morning
300122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1,15,No,None,Religious,No,0.11,All
300123,Western,Maharastra,Pune,Shaniwar Wada,Fort,1732,2,50,Yes,None,Historical,Yes,1.2,All
300124,Western,Maharastra,Aurangabad,Ajanta Caves,Cave,200,3,30,Yes,Monday,Historical,Yes,0.21,Afternoon
300125,Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2,300,Yes,None,Recreational,Yes,0.1,Afternoon
300126,Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1922,1.5,0,Yes,None,Religious,No,0.69,All
300127,Western,Maharastra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,0,Yes,None,Recreational,Yes,0.05,Evening
300128,Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1600,1,0,No,None,Religious,No,0.1,All
300129,Western,Maharastra,Nagpur,Deekshabhoomi,Monument,2001,1,0,Yes,None,Religious,Yes,0.11,Afternoon
300130,Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,700,1,0,Yes,None,Religious,No,0.9,All
300131,Western,Maharastra,Lonavala,Karla Caves,Cave,200,1.5,25,Yes,Yes,Historical,Yes,0.27,Afternoon
300132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2,0,No,None,Recreational,Yes,0.065,Evening
300133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2,300,No,None,Nature,Yes,0.05,Afternoon
300134,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,0,Yes,None,Nature,Yes,0.02,Morning
300135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon
300136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2,40,No,None,Cultural,Yes,0.09,Afternoon
300137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,30,Yes,None,Historical,Yes,0.01,Afternoon
300138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1,10,Yes,None,Historical,Yes,0.63,Afternoon
300139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,75,Yes,None,Historical,Yes,0.4,Morning
300140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,0,Yes,None,Religious,No,1.2,All
300141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1,0,No,None,Nature,Yes,0.01,Morning
300142,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,15,No,None,Nature,Yes,0.065,Morning
300143,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3,100,No,None,Wildlife,Yes,0.1,Morning
300144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3,50,No,None,Wildlife,Yes,0.05,Morning
300145,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,10,No,None,Historical,Yes,0.1,Afternoon
300146,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1,50,No,None,Historical,Yes,0.03,Afternoon
300147,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2,25,No,None,Archaeological,Yes,0.07,Afternoon
300148,Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1,0,No,None,Religious,Yes,0.01,All
300149,Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,0,No,None,Nature,Yes,0.1,Morning
300150,Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1,0,Yes,None,Recreational,Yes,0.03,Morning
300151,Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2,0,No,None,Adventure,Yes,0.05,Morning
300152,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,0,Yes,None,Religious,No,0.15,All
300153,Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,Unknown,1.5,0,No,None,Nature,Yes,0.1,Morning
300154,Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1,0,No,None,Religious,Yes,0.025,Morning
300155,Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3,50,No,None,Wildlife,Yes,0.2,All
300156,Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,2,0,No,None,Recreational,Yes,0.01,Morning
300157,Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,Unknown,2,0,No,None,Nature,Yes,0.01,Morning
300158,Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2,150,Yes,None,Historical,Yes,0.1,All
300159,Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,0,Yes,None,Agricultural,Yes,0.015,Morning
300160,Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,0,No,None,Nature,Yes,0.01,Morning
300161,Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2,2500,No,None,Adventure,Yes,0.01,All
300162,Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,Unknown,5,0,Yes,None,Adventure,Yes,0.01,Morning
300163,Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1980,1,0,No,None,Religious,Yes,1.3,Morning
