ID,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
300164,Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,Unknown,2,0,Yes,None,Nature,Yes,1.1,All
300165,Northern,Himachal Pradesh,Barot,Barot Valley,Valley,Unknown,2,0,No,None,Nature,Yes,1.2,Morning
300166,Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,Unknown,2.5,0,No,None,Nature,Yes,0.9,Morning
300167,Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5,1500,Yes,None,Recreational,Yes,0.1,All
300168,Northern,Uttarakhand,Nainital,Naini Lake,Lake,Unknown,1.5,0,Yes,None,Nature,Yes,0.01,Morning
300169,Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1,0,Yes,None,Cultural,Yes,0.03,Morning
300170,Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,Unknown,1,0,Yes,None,Religious,Yes,0.025,All
300171,Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,Unknown,1.5,25,Yes,None,Nature,Yes,0.01,Morning
300172,Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,Unknown,1.5,15,Yes,None,Nature,Yes,0.55,Morning
300173,Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,3,0,No,None,Adventure,Yes,0.01,Morning
300174,Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,-820,1,0,No,None,Religious,No,0.29,All
300175,Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2,150,No,None,Wildlife,Yes,0.01,All
300176,Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1868,1,50,No,None,Recreational,Yes,0.025,All
300177,Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3,100,Yes,None,Wildlife,Yes,0.3,All
300178,Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,1,0,No,None,Religious,No,0.05,All
300179,Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,751,2,0,No,None,Religious,No,0.09,All
300180,Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,5,150,No,None,Nature,Yes,0.035,Morning
300181,Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,1632,2,50,Yes,Friday,Historical,Yes,2.25,Morning
300182,Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,Unknown,1,0,Yes,None,Religious,No,0.9,All
300183,Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1784,1.5,50,Yes,Monday,Historical,No,0.45,All
300184,Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,Unknown,1,0,Yes,None,Religious,No,0.13,All
300185,Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,Unknown,1,0,Yes,None,Religious,No,0.025,All
300186,Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1,0,Yes,None,Religious,No,0.37,All
300187,Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,Unknown,1,0,Yes,None,Religious,Yes,0.09,Morning
300188,Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,15,Yes,None,Historical,Yes,0.25,All
300189,Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,-500,1,5,Yes,None,Historical,Yes,0.065,All
300190,Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2,40,Yes,None,Historical,Yes,0.07,Afternoon
300191,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,30,Yes,None,Wildlife,Yes,0.035,All
300192,Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1,20,Yes,None,Historical,Yes,0.0165,Afternoon
300193,Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,Unknown,1,0,Yes,None,Religious,No,0.045,All
300194,Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2,150,Yes,Monday,Wildlife,Yes,0.21,All
300195,Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,Unknown,2,0,Yes,None,Nature,Yes,0.15,Morning
300196,Northern,Ladakh,Leh,Pangong Tso,Lake,Unknown,2,20,Yes,None,Nature,Yes,0.15,Morning
300197,Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,Unknown,2,100,No,None,Nature,Yes,0.11,All
300198,Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,Unknown,5,0,Yes,None,Religious,No,0.55,All
300199,Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,Unknown,2,0,No,None,Recreational,Yes,0.01,All
300200,Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,Unknown,6,0,No,None,Religious,Yes,0.11,All
300201,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,20,Yes,None,Religious,No,0.05,All
300202,Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,Unknown,2,0,No,None,Nature,Yes,0.1,All
300203,Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,24,1,0,No,None,Historical,Yes,0.011,All
300204,Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1351,1,20,No,None,Religious,No,0.015,Morning
300205,Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3,100,No,None,Wildlife,Yes,0.01,All
300206,Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4,20,No,None,Wildlife,Yes,0.02,All
300207,Northern,Ladakh,Dras,Dras War Memorial,War Memorial,Unknown,1,0,No,None,Historical,Yes,0.012,All
300208,Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,Unknown,0.5,0,Yes,None,Nature,Yes,0.1,All
300209,Northern,Ladakh,Leh,Khardung La Pass,Hill,Unknown,1,0,Yes,None,Adventure,Yes,0.05,Afternoon
300210,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,30,Yes,None,Religious,No,0.05,All
300211,Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,0,Yes,None,Religious,Yes,0.49,Evening
300212,Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1,0,Yes,None,Historical,Yes,0.03,Morning
300213,Central,Uttar Pradesh,Mathura,Nand Gaon,Village,Unknown,1,0,Yes,None,Cultural,Yes,0.01,Morning
300214,Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,Unknown,1,0,Yes,None,Religious,Yes,0.1,Morning
300215,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,1,0,No,None,Nature,Yes,0.025,All
300216,Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3,250,Yes,None,Wildlife,Yes,0.035,All
300217,Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4,60,No,None,Wildlife,Yes,0.065,All
300218,Eastern,West Bengal,Digha,Digha Beach,Beach,Unknown,1.5,0,No,None,Recreational,Yes,0.09,Morning
300219,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,10,Yes,Friday,Historical,Yes,0.18,Morning
300220,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,0.5,0,Yes,None,Religious,No,0.045,All
300221,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,0,Yes,None,Architectural,No,0.07,All
300222,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3,100,Yes,None,Wildlife,Yes,0.07,All
300223,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1,20,Yes,Friday,Historical,Yes,0.09,All
300224,Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,Unknown,2.5,0,No,None,Nature,Yes,0.15,All
300225,Eastern,Odisha,Puri,Jagannath Temple,Temple,12th century,2,0,Yes,None,Religious,No,1,All
300226,Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,40,Yes,None,Historical,Yes,0.83,All
300227,Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,11th century,1,0,Yes,None,Religious,No,0.35,All
300228,Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,Unknown,1.5,0,No,None,Nature,Yes,1.2,All
300229,Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1,0,Yes,None,Historical,Yes,0.13,All
300230,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1,0,No,None,Engineering Marvel,Yes,0.01,All
300231,Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2,0,Yes,None,Nature,Yes,0.1,Morning
300232,Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,Ancient,1,0,Yes,None,Religious,No,0.01,All
300233,Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Unknown,1,0,No,None,Nature,Yes,0.018,Morning
300234,Eastern,Odisha,Balasore,Chandipur Beach,Beach,Unknown,1.5,0,Yes,None,Recreational,Yes,0.014,Morning
300235,Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Unknown,1,0,No,None,Nature,Yes,0.055,All
300236,Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,0,Yes,None,Recreational,Yes,0.1,Morning
300237,Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,6th century AD,2,0,Yes,None,Religious,No,0.65,All
300238,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,12th century,1.5,0,No,None,Religious,No,0.01,All
300239,Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1,20,Yes,None,Historical,No,0.47,Morning
300240,Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1,10,Yes,None,Recreational,Yes,0.61,Morning
300241,Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,12th century,1,0,Yes,None,Religious,No,0.3,All
300242,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2,0,No,None,Recreational,Yes,0.1,Morning
300243,Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,0,Yes,None,Religious,No,0.35,All
300244,Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,7th century,1,40,Yes,None,Historical,No,0.09,All
300245,Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Unknown,1,0,No,None,Recreational,Yes,0.019,Morning
300246,Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,7th century,1,0,Yes,None,Religious,No,0.16,All
300247,Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,10th century,1,0,Yes,None,Religious,No,0.28,All
300248,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1,0,Yes,None,Religious,No,0.44,All
300249,Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,0,Yes,None,Recreational,Yes,0.39,Morning
300250,Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1,0,No,None,Religious,No,0.49,All
300251,Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2,0,Yes,None,Nature,Yes,0.032,All
300252,Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,0,No,None,Historical,Yes,0.075,All
300253,Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,65,Yes,None,Natural Wonder,Yes,0.11,Afternoon
300254,Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1,0,Yes,None,Religious,No,0.041,All
300255,Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1,10,Yes,None,Wildlife,Yes,0.7,All
300256,Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,0,No,None,Historical,Yes,0.015,Morning
300257,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1,0,Yes,None,Religious,Yes,0.12,All
300258,Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1,0,Yes,None,Religious,No,0.59,All
300259,Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2,0,Yes,None,Recreational,Yes,0.019,All
300260,Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1,40,Yes,None,Historical,Yes,0.49,All
300261,Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2,60,No,None,Natural Wonder,Yes,0.31,Afternoon
300262,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1,0,Yes,None,Historical,Yes,0.059,All
300263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon
300264,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1,20,Yes,None,Recreational,Yes,0.03,All
300265,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1,10,Yes,None,Cultural,Yes,0.065,All
300266,Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2,20,Yes,None,Historical,Yes,0.15,Afternoon
300267,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1,20,No,None,Religious,No,0.015,Morning
300268,Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2,50,Yes,None,Religious,No,0.12,All
300269,Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1960s,1,10,Yes,None,Religious,No,0.035,Morning
300270,Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1,50,Yes,None,Cultural,Yes,0.1,All
300271,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1,0,Yes,None,Religious,No,0.075,All
300272,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2,0,Yes,None,Nature,Yes,0.15,Morning
300273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2,0,Yes,None,Religious,No,0.21,All
300274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3,650,No,None,Wildlife,No,0.068,Morning
300275,North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1,0,Yes,None,Nature,Yes,0.01,Morning
300276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1,0,No,None,Historical,Yes,0.065,All
300277,North Eastern,Assam,Majuli,Majuli Island,River Island,Unknown,2,0,No,None,Cultural,Yes,0.01,Morning
300278,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3,500,No,None,Wildlife,Yes,0.19,Morning
300279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1,0,No,None,Religious,Yes,0.9,All
300280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2,500,Yes,None,Wildlife,Yes,0.037,All
300281,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2,0,No,None,Religious,No,0.032,Morning
300282,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,10,Yes,Monday,Historical,Yes,0.035,All
300283,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,Unknown,1,0,No,None,Nature,Yes,0.01,Morning
300284,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,20,No,None,Historical,Yes,0.025,Morning
300285,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Unknown,1.5,0,No,None,Nature,Yes,0.19,Morning
300286,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,Unknown,3,0,No,None,Trekking,Yes,0.01,Afternoon
300287,Southern,Puducherry,Puducherry,Promenade Beach,Beach,Unknown,1,0,Yes,None,Recreational,Yes,0.09,Morning
300288,Southern,Puducherry,Auroville,Auroville,Township,1968,2,0,Yes,None,Cultural,Yes,0.035,All
300289,Southern,Puducherry,Puducherry,Paradise Beach,Beach,Unknown,1,200,Yes,None,Recreational,Yes,0.015,Morning
300290,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,30,Yes,Monday,Historical,Yes,0.12,Afternoon
300291,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1,0,No,None,Nature,Yes,0.09,Morning
300292,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Unknown,1,0,No,None,Nature,Yes,0.04,Morning
300293,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,1.5,250,No,None,Nature,Yes,0.015,Morning
300294,Western,Daman and Diu,Diu,Naida Caves,Cave,Unknown,1,0,No,None,Nature,Yes,0.6,Afternoon
300295,Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,0,No,None,Historical,Yes,1.2,Afternoon
300296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1,0,Yes,None,Religious,Yes,1.8,All
300297,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Unknown,1,0,Yes,None,Religious,Yes,0.13,All
300298,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,0,Yes,None,Religious,Yes,0.2,All
300299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,30,Yes,None,Wildlife,Yes,0.5,All
300300,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1,0,Yes,None,Religious,Yes,0.25,All
300301,Eastern,Bihar,Patna,Budhha Smriti Park,Park,Unknown,1,10,Yes,None,Cultural,Yes,0.31,All
300302,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon
300303,Northern,Haryana,Gurugram,Ambience Mall,Mall,Unknown,2,0,Yes,None,Shopping,Yes,1.2,Afternoon
300304,Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,Unknown,2,0,Yes,None,Entertainment,Yes,0.71,Afternoon
300305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,1,0,Yes,None,Religious,Yes,1.05,All
300306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,0,No,None,Religious,No,2,All
300307,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2,0,Yes,None,Shopping,Yes,1.5,All
300308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2,0,Yes,None,Shopping,Yes,0.45,All
300309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4,890,Yes,None,Entertainment,Yes,0.95,All
300310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon
300311,Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2,0,Yes,None,Shopping,Yes,1.8,All
300312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2,0,Yes,None,Shopping,Yes,1.2,All
300313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1,0,Yes,None,Historical,Yes,0.49,All
300314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Unknown,1.5,0,Yes,None,Religious,No,0.1,All
300315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2,1500,Yes,Sunday,Sports,Yes,7.4,All
300316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2,0,Yes,None,Shopping,Yes,0.35,All
300317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3,0,Yes,None,Shopping,Yes,1.9,All
300318,Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2,50,Yes,Monday,Cultural,Yes,0.24,Morning
300319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2,0,No,None,Nature,Yes,0.06,Morning
300320,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3,0,Yes,Monday,Religious,No,0.18,All
300321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2,40,Yes,None,Historical,Yes,1.3,Afternoon
300322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2,10,Yes,Monday,Cultural,Yes,0.15,All
300323,Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2,200,Yes,None,Historical,Yes,0.51,Morning
300324,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2,200,Yes,None,Historical,Yes,0.63,All
